week_of,email_sent_at,email_stream_count
2025-12-01,1765202464000,35740602
2025-12-08,1765807249000,36235610
2025-12-15,1766412243000,36694932
2025-12-22,1767016909000,37087169
2025-12-29,1767621791000,37573631
2026-01-05,1768226697000,38024921
2026-01-12,1768831476000,38449924
2026-01-19,1769436068000,38904764
2026-01-26,1770040870000,39339510
2026-02-02,1770645682000,39750934
2026-02-09,1771250537000,40312074
2026-02-16,1771855321000,40788869
2026-02-23,1772460242000,41306614
2026-03-02,1773061342000,41774678
2026-03-09,1773666264000,42251363
2026-03-16,1774270957000,42689563
2026-03-23,1774875621000,43125588
2026-03-30,1775480528000,43540123
2026-05-04,1778504460000,45552854
2026-05-11,1779109382000,45903824
2026-05-18,1779714072000,46377895
2026-05-25,1780318896000,46802122
2026-06-01,1780923836000,47190350
2026-06-08,1781528583000,47576224
2026-06-15,1782133437000,47986298
